	207_C_T2_sh_L_ND_01.c3d	207_C_T2_sh_L_ND_01.c3d	207_C_T2_sh_L_ND_01.c3d	207_C_T2_sh_L_ND_01.c3d	207_C_T2_sh_L_ND_01.c3d	207_C_T2_sh_L_ND_01.c3d	207_C_T2_sh_L_ND_01.c3d	207_C_T2_sh_L_ND_01.c3d	207_C_T2_sh_L_ND_04.c3d	207_C_T2_sh_L_ND_04.c3d	207_C_T2_sh_L_ND_04.c3d	207_C_T2_sh_L_ND_04.c3d	207_C_T2_sh_L_ND_04.c3d	207_C_T2_sh_L_ND_04.c3d	207_C_T2_sh_L_ND_04.c3d	207_C_T2_sh_L_ND_04.c3d	207_C_T2_sh_L_ND_05.c3d	207_C_T2_sh_L_ND_05.c3d	207_C_T2_sh_L_ND_05.c3d	207_C_T2_sh_L_ND_05.c3d	207_C_T2_sh_L_ND_05.c3d	207_C_T2_sh_L_ND_05.c3d	207_C_T2_sh_L_ND_05.c3d	207_C_T2_sh_L_ND_05.c3d	207_C_T2_sh_L_ND_07.c3d	207_C_T2_sh_L_ND_07.c3d	207_C_T2_sh_L_ND_07.c3d	207_C_T2_sh_L_ND_07.c3d	207_C_T2_sh_L_ND_07.c3d	207_C_T2_sh_L_ND_07.c3d	207_C_T2_sh_L_ND_07.c3d	207_C_T2_sh_L_ND_07.c3d	207_C_T2_sh_L_ND_08.c3d	207_C_T2_sh_L_ND_08.c3d	207_C_T2_sh_L_ND_08.c3d	207_C_T2_sh_L_ND_08.c3d	207_C_T2_sh_L_ND_08.c3d	207_C_T2_sh_L_ND_08.c3d	207_C_T2_sh_L_ND_08.c3d	207_C_T2_sh_L_ND_08.c3d	207_C_T2_sh_L_ND_09.c3d	207_C_T2_sh_L_ND_09.c3d	207_C_T2_sh_L_ND_09.c3d	207_C_T2_sh_L_ND_09.c3d	207_C_T2_sh_L_ND_09.c3d	207_C_T2_sh_L_ND_09.c3d	207_C_T2_sh_L_ND_09.c3d	207_C_T2_sh_L_ND_09.c3d	207_C_T2_sh_L_ND_10.c3d	207_C_T2_sh_L_ND_10.c3d	207_C_T2_sh_L_ND_10.c3d	207_C_T2_sh_L_ND_10.c3d	207_C_T2_sh_L_ND_10.c3d	207_C_T2_sh_L_ND_10.c3d	207_C_T2_sh_L_ND_10.c3d	207_C_T2_sh_L_ND_10.c3d
7	0.250384	0.269834	0.186568	0.253287	0.254511	0.399515	0.362629	0.332562	0.191894	0.288092	0.329405	0.143249	0.391593	0.319434	0.213229	0.247608	0.089933	0.158657	0.289579	0.427657	0.108092	0.199342	0.301993	0.425055	0.205322	0.174245	0.423052	0.230212	0.100788	0.304378	0.206706	0.334618	0.036235	0.145719	0.219943	0.214635	0.093443	0.263736	0.402102	0.359226	0.234685	0.292765	0.388926	0.320350	0.267391	0.258068	0.510544	0.166236	0.150600	0.413472	0.124033	0.106622	0.070351	0.203973	0.611053	0.257739
8	0.270606	0.273137	0.192803	0.262046	0.250431	0.315950	0.372862	0.335344	0.199453	0.276428	0.300229	0.167395	0.373188	0.301207	0.272732	0.252894	0.099046	0.153283	0.300976	0.459588	0.101291	0.196573	0.304873	0.460600	0.273839	0.306955	0.432151	0.231680	0.099462	0.229887	0.207876	0.331247	0.040077	0.145452	0.223801	0.217387	0.093014	0.266566	0.401880	0.357609	0.238613	0.312134	0.389201	0.330411	0.259619	0.251539	0.503499	0.230517	0.187480	0.428212	0.116203	0.145029	0.069713	0.204338	0.659537	0.260689
9	0.269242	0.303567	0.192288	0.265414	0.247995	0.307094	0.370611	0.317210	0.194196	0.244568	0.314843	0.243089	0.353373	0.303752	0.285429	0.265943	0.087715	0.146753	0.282275	0.466959	0.091862	0.201061	0.323114	0.486815	0.275803	0.308967	0.342583	0.171437	0.099588	0.193328	0.207956	0.343702	0.052844	0.118234	0.198998	0.218327	0.092266	0.279624	0.419673	0.387153	0.253572	0.317265	0.373724	0.335155	0.237854	0.234367	0.513053	0.315322	0.225092	0.438256	0.135182	0.270673	0.070097	0.190079	0.770911	0.260199
10	0.261433	0.330636	0.192413	0.266937	0.246490	0.309076	0.374522	0.298743	0.188323	0.232639	0.294168	0.285269	0.329772	0.256174	0.286240	0.244311	0.137508	0.220220	0.259441	0.459564	0.094086	0.198150	0.316422	0.490844	0.270319	0.306812	0.292691	0.213734	0.103300	0.196032	0.207786	0.335576	0.060856	0.093596	0.184489	0.231357	0.092356	0.291655	0.389905	0.390851	0.230317	0.307687	0.365616	0.314288	0.228334	0.231251	0.516155	0.340918	0.243065	0.448181	0.215304	0.324522	0.066212	0.172174	0.854707	0.255391
11	0.256404	0.337411	0.194281	0.309914	0.305702	0.392545	0.369169	0.292722	0.176234	0.215346	0.252061	0.333088	0.302603	0.247549	0.285739	0.224079	0.187438	0.238737	0.336167	0.446397	0.088151	0.171602	0.338337	0.486255	0.270765	0.315940	0.285720	0.261313	0.107040	0.198051	0.219734	0.336718	0.060996	0.192621	0.169892	0.263030	0.091420	0.302636	0.349538	0.373091	0.224467	0.262571	0.338476	0.270673	0.226689	0.183612	0.532003	0.360776	0.244871	0.446158	0.267455	0.333698	0.066390	0.173783	0.883116	0.247363
12	0.254842	0.320896	0.206693	0.343879	0.333869	0.433626	0.413042	0.307681	0.146111	0.153418	0.244012	0.372950	0.198831	0.214447	0.315101	0.223480	0.221800	0.269368	0.344584	0.471548	0.077155	0.141134	0.349137	0.462942	0.229400	0.353954	0.268307	0.356977	0.103029	0.187629	0.252380	0.334639	0.081393	0.231428	0.126888	0.287550	0.088357	0.302448	0.371240	0.368902	0.220977	0.267244	0.287142	0.261012	0.166189	0.143553	0.561343	0.417826	0.238523	0.451649	0.304077	0.372898	0.060771	0.187389	0.885314	0.245315
13	0.258991	0.309674	0.210500	0.350948	0.380959	0.479253	0.488872	0.333094	0.191935	0.170964	0.266276	0.381379	0.137022	0.206446	0.393530	0.229849	0.237606	0.268349	0.317459	0.357048	0.071250	0.144550	0.471751	0.461881	0.184563	0.298828	0.241934	0.375113	0.100995	0.189013	0.248615	0.326228	0.081966	0.232170	0.190155	0.262420	0.097008	0.310840	0.434580	0.374809	0.255384	0.277561	0.285093	0.276732	0.127700	0.142603	0.627235	0.428511	0.234356	0.453083	0.344512	0.418366	0.062360	0.188086	0.885448	0.247694
14	0.251778	0.301101	0.212603	0.349483	0.391570	0.479543	0.517232	0.334211	0.327866	0.283840	0.303317	0.383002	0.141640	0.203240	0.401751	0.228280	0.241344	0.308023	0.313516	0.327148	0.072549	0.098868	0.513958	0.413046	0.103606	0.237517	0.155785	0.374769	0.095518	0.188738	0.243172	0.317965	0.083521	0.232831	0.187646	0.308485	0.103348	0.311458	0.432212	0.327870	0.252875	0.331314	0.279369	0.340925	0.123768	0.136780	0.691929	0.428295	0.229012	0.356938	0.345854	0.449029	0.075571	0.154048	0.884614	0.249080
15	0.230631	0.295684	0.212319	0.343972	0.369897	0.424272	0.522632	0.331753	0.372710	0.341095	0.290466	0.354911	0.145620	0.204363	0.417532	0.242951	0.249448	0.323573	0.333082	0.443407	0.069872	0.102317	0.498278	0.337267	0.097906	0.235092	0.155487	0.371323	0.087862	0.161617	0.261938	0.294810	0.108611	0.236005	0.211294	0.381384	0.099523	0.262909	0.408242	0.316462	0.242952	0.341608	0.276649	0.424193	0.123279	0.123532	0.685902	0.429031	0.218887	0.344097	0.342088	0.457092	0.089777	0.133938	0.883214	0.253193
16	0.219843	0.293501	0.198317	0.328523	0.369077	0.417798	0.507540	0.328284	0.380950	0.372613	0.351477	0.376781	0.141301	0.206332	0.417864	0.287538	0.231960	0.278229	0.341767	0.508355	0.070618	0.107803	0.482768	0.326928	0.073549	0.223345	0.153733	0.304288	0.065015	0.114583	0.318854	0.307149	0.162401	0.248001	0.350595	0.411635	0.078798	0.193305	0.394430	0.312560	0.244801	0.398819	0.293156	0.434689	0.123209	0.122274	0.680531	0.430339	0.214238	0.358649	0.340335	0.461018	0.092161	0.119392	0.834836	0.268579
17	0.170542	0.256113	0.153475	0.299776	0.367434	0.415627	0.427599	0.301536	0.464310	0.437760	0.394459	0.402060	0.141058	0.204953	0.415095	0.344076	0.194624	0.247586	0.271547	0.509705	0.072471	0.108760	0.477249	0.270365	0.057722	0.153777	0.164454	0.204503	0.058898	0.102080	0.341926	0.304902	0.168882	0.252318	0.379317	0.495308	0.070465	0.188478	0.392362	0.318233	0.253642	0.480135	0.281239	0.418281	0.115568	0.108446	0.674808	0.432137	0.201792	0.359986	0.355531	0.491680	0.091996	0.114154	0.742830	0.271368
18	0.114508	0.234618	0.132132	0.294465	0.375416	0.421910	0.417837	0.306527	0.505458	0.476947	0.408388	0.348923	0.137639	0.171117	0.398955	0.362431	0.163592	0.225759	0.285860	0.492576	0.059709	0.122988	0.470321	0.246300	0.036132	0.086813	0.126547	0.155606	0.059303	0.105447	0.350929	0.284609	0.172698	0.303377	0.416646	0.566727	0.070422	0.172790	0.391962	0.329063	0.254568	0.495395	0.283500	0.418580	0.105251	0.112831	0.687543	0.433278	0.143654	0.360561	0.372908	0.463166	0.092646	0.114603	0.680816	0.268534
19	0.113730	0.206054	0.133433	0.397396	0.370551	0.420452	0.419069	0.296119	0.504001	0.476764	0.383315	0.382931	0.208203	0.200240	0.395747	0.350501	0.158796	0.226979	0.280745	0.473799	0.054583	0.145342	0.450290	0.243828	0.057814	0.184427	0.117220	0.406119	0.059770	0.106610	0.365156	0.280421	0.188033	0.323403	0.482695	0.579790	0.069978	0.158281	0.352410	0.212482	0.246557	0.492794	0.327411	0.435974	0.097972	0.124186	0.722454	0.393136	0.101630	0.343267	0.365075	0.408375	0.094209	0.117724	0.661124	0.275166
20	0.129858	0.156154	0.133817	0.565899	0.349186	0.411293	0.418610	0.230792	0.466783	0.459869	0.346768	0.398010	0.344856	0.357396	0.403256	0.339948	0.153033	0.165804	0.269337	0.477686	0.054016	0.150732	0.445432	0.249208	0.095964	0.244724	0.177783	0.421600	0.059300	0.108730	0.362903	0.253320	0.188968	0.271400	0.497477	0.567826	0.071487	0.130086	0.340246	0.251582	0.237449	0.504488	0.372102	0.481157	0.095637	0.119098	0.726845	0.337950	0.091989	0.349372	0.323582	0.405269	0.094287	0.118268	0.650264	0.233527
21	0.150744	0.115080	0.156927	0.587296	0.299663	0.323434	0.422748	0.222916	0.375863	0.389399	0.356608	0.406457	0.424499	0.392069	0.409131	0.334164	0.138440	0.133840	0.254845	0.380617	0.051846	0.151029	0.389658	0.244075	0.099001	0.282179	0.231248	0.460735	0.058992	0.112353	0.360155	0.243870	0.182744	0.259909	0.495833	0.562000	0.079281	0.142611	0.332231	0.396037	0.235389	0.516569	0.390507	0.517937	0.087577	0.106097	0.724811	0.290537	0.087677	0.368530	0.366645	0.376997	0.094169	0.119235	0.576044	0.217391
22	0.166129	0.106008	0.200287	0.557886	0.257218	0.254563	0.447027	0.204887	0.360985	0.338934	0.344396	0.408336	0.491856	0.434379	0.409263	0.326906	0.125875	0.135626	0.370062	0.336747	0.047671	0.156794	0.228402	0.226908	0.100685	0.290140	0.226102	0.567599	0.062992	0.117886	0.376092	0.205445	0.182886	0.257888	0.487162	0.558706	0.085973	0.137790	0.266226	0.398835	0.227063	0.509559	0.395466	0.534189	0.081981	0.104727	0.713115	0.277311	0.080809	0.329591	0.374291	0.329725	0.093708	0.124041	0.401680	0.217174
23	0.154225	0.109946	0.207251	0.546167	0.156168	0.146463	0.453454	0.164206	0.308322	0.308485	0.225026	0.436675	0.501443	0.443164	0.346687	0.318688	0.135840	0.146323	0.414381	0.330753	0.047149	0.171908	0.219436	0.208174	0.100728	0.287860	0.249303	0.639424	0.061017	0.114423	0.419252	0.202694	0.181198	0.257976	0.486467	0.496857	0.072891	0.123189	0.228862	0.388297	0.212972	0.490128	0.393355	0.530908	0.083828	0.113026	0.689116	0.180618	0.095462	0.352717	0.399869	0.270581	0.093387	0.127364	0.223293	0.196589
24	0.166356	0.129241	0.238380	0.611289	0.125418	0.139243	0.443674	0.164857	0.160913	0.160084	0.206281	0.484806	0.536255	0.460847	0.290952	0.316498	0.135971	0.130936	0.454589	0.297945	0.045230	0.168865	0.211113	0.201669	0.111630	0.267930	0.252315	0.585098	0.056162	0.105539	0.467672	0.199767	0.141296	0.246748	0.443740	0.474347	0.067807	0.121631	0.265217	0.419131	0.177092	0.472303	0.390430	0.504139	0.086579	0.127408	0.635043	0.154933	0.099182	0.357585	0.404414	0.253910	0.088178	0.128517	0.184576	0.218805
25	0.167531	0.131879	0.245564	0.690086	0.127936	0.147350	0.436496	0.181237	0.132158	0.152832	0.198476	0.546884	0.602768	0.476719	0.281184	0.326892	0.130712	0.115942	0.595026	0.343988	0.038153	0.173473	0.217334	0.189676	0.086440	0.188349	0.255496	0.559011	0.056905	0.102831	0.456887	0.201064	0.110253	0.241450	0.349222	0.428324	0.066989	0.122535	0.264572	0.444204	0.171589	0.444441	0.380589	0.448365	0.085431	0.140626	0.542636	0.200775	0.107567	0.333195	0.404667	0.251314	0.079770	0.116696	0.245302	0.245960
26	0.163322	0.133291	0.243383	0.706767	0.129640	0.143650	0.491038	0.178040	0.126832	0.140187	0.211702	0.573571	0.677477	0.536894	0.405520	0.411880	0.128513	0.118902	0.618558	0.359346	0.026104	0.173695	0.215549	0.205032	0.073234	0.158275	0.204498	0.536482	0.053793	0.098425	0.445617	0.203182	0.105408	0.222312	0.362667	0.506133	0.067003	0.117066	0.250555	0.447027	0.167230	0.426791	0.331085	0.379731	0.086279	0.152550	0.446868	0.210793	0.116102	0.286517	0.399535	0.203690	0.085329	0.124946	0.252799	0.273251
27	0.158848	0.120699	0.233643	0.711829	0.130031	0.140271	0.548258	0.192176	0.117573	0.126272	0.174846	0.576061	0.736445	0.604692	0.465756	0.530912	0.125155	0.119053	0.649967	0.371298	0.021663	0.151481	0.201046	0.241849	0.069490	0.085116	0.175607	0.498955	0.062199	0.120413	0.449140	0.200818	0.090342	0.126708	0.307453	0.633406	0.066015	0.104379	0.236822	0.451641	0.150203	0.346720	0.305699	0.376239	0.081624	0.152900	0.469338	0.207082	0.118326	0.279947	0.409876	0.138468	0.078872	0.128146	0.253442	0.294344
28	0.152863	0.118746	0.234161	0.714784	0.100231	0.112434	0.573360	0.196382	0.119361	0.141525	0.178166	0.663432	0.767542	0.638309	0.461706	0.583421	0.121436	0.113051	0.591188	0.369212	0.029445	0.135890	0.178498	0.272220	0.069493	0.076175	0.186480	0.388541	0.067080	0.151675	0.442996	0.206974	0.094592	0.077193	0.243997	0.769758	0.069550	0.107785	0.234403	0.449123	0.133367	0.235084	0.303984	0.382538	0.067692	0.152768	0.516512	0.245141	0.116764	0.291064	0.460642	0.205410	0.066880	0.134502	0.253055	0.295049
29	0.151589	0.116152	0.234073	0.689611	0.108683	0.115112	0.576980	0.198297	0.115565	0.141775	0.244945	0.683609	0.773178	0.644281	0.457928	0.587581	0.114653	0.111633	0.559862	0.413321	0.036549	0.134945	0.185369	0.271109	0.060714	0.072394	0.190054	0.248627	0.066750	0.172887	0.402373	0.210540	0.102208	0.079704	0.270602	0.808335	0.074575	0.115529	0.250964	0.437948	0.131763	0.228990	0.277087	0.411681	0.071907	0.137220	0.533486	0.316088	0.118690	0.314278	0.495422	0.262980	0.067326	0.147324	0.252998	0.290138
30	0.140738	0.113784	0.233745	0.556974	0.130582	0.117590	0.574285	0.195438	0.115916	0.141604	0.297375	0.786937	0.746817	0.609134	0.507547	0.590918	0.099282	0.098013	0.507839	0.439219	0.040333	0.129239	0.200784	0.270536	0.057169	0.046746	0.191267	0.259977	0.072977	0.193084	0.372985	0.208052	0.106777	0.082881	0.268546	0.971755	0.075498	0.105692	0.250092	0.352440	0.131103	0.217413	0.236623	0.425738	0.069506	0.122707	0.489857	0.321038	0.133824	0.300611	0.465704	0.408494	0.067704	0.148593	0.252877	0.302492
31	0.124164	0.115212	0.240414	0.490073	0.227904	0.138520	0.569585	0.188873	0.100602	0.134540	0.345890	0.804746	0.693893	0.545991	0.523482	0.605736	0.072911	0.095360	0.340248	0.395976	0.040604	0.102594	0.241979	0.487828	0.084418	0.072875	0.187225	0.268340	0.079014	0.195718	0.363020	0.203292	0.114694	0.089994	0.342609	1.118312	0.075349	0.099183	0.257277	0.291244	0.123303	0.183250	0.371900	0.662496	0.068813	0.130044	0.465609	0.324533	0.143874	0.277870	0.416979	0.456787	0.066822	0.153534	0.252731	0.324367
32	0.092316	0.118844	0.227081	0.488141	0.291550	0.152657	0.522645	0.193587	0.095244	0.130484	0.320165	0.729544	0.650377	0.525375	0.536030	0.629518	0.063232	0.091169	0.298765	0.378257	0.055233	0.117888	0.243126	1.123717	0.178863	0.146011	0.225926	0.269162	0.080138	0.195400	0.349735	0.200863	0.115801	0.089127	0.357874	1.174192	0.087437	0.110758	0.242305	0.313123	0.135374	0.170623	0.424042	0.741910	0.070810	0.131775	0.497639	0.442591	0.138333	0.252425	0.379300	0.530011	0.064572	0.156065	0.252598	0.357442
33	0.092411	0.120137	0.252149	0.487457	0.341037	0.333374	0.444490	0.195129	0.081321	0.124142	0.331107	0.753959	0.628208	0.507087	0.549140	0.672423	0.063522	0.093272	0.204466	0.340384	0.075840	0.139061	0.222303	1.162800	0.182598	0.148843	0.197862	0.267143	0.081232	0.194852	0.357498	0.236865	0.116407	0.088944	0.361436	1.176682	0.086619	0.129360	0.212705	0.291063	0.159523	0.194012	0.426464	0.767462	0.089291	0.141171	0.528735	0.597229	0.139005	0.238451	0.392149	0.617549	0.064159	0.156560	0.251240	0.364833
34	0.076162	0.098137	0.291498	0.444681	0.491247	0.624274	0.404736	0.200770	0.072916	0.110774	0.334717	0.732792	0.613171	0.494506	0.554023	0.712583	0.064870	0.110231	0.127556	0.334811	0.095797	0.138990	0.244527	1.170321	0.182386	0.149779	0.180366	0.264692	0.081292	0.194172	0.371702	0.277521	0.117758	0.088503	0.400748	1.162419	0.085852	0.144214	0.262929	0.269183	0.189186	0.240722	0.424443	0.799125	0.093069	0.141967	0.547886	0.683129	0.138057	0.232365	0.455442	0.713039	0.063963	0.154523	0.249625	0.365461
35	0.065385	0.080522	0.284831	0.298869	0.500898	0.622877	0.404614	0.193381	0.061334	0.104300	0.303059	0.693914	0.574101	0.486471	0.563166	0.736804	0.054138	0.103093	0.115206	0.505049	0.105031	0.143178	0.289400	1.224975	0.185095	0.172154	0.197711	0.243068	0.078933	0.198964	0.360684	0.286102	0.112204	0.070022	0.490749	1.067094	0.085561	0.165824	0.406404	0.288373	0.209278	0.270516	0.426069	0.830533	0.087670	0.125554	0.561181	0.710898	0.147146	0.237334	0.474970	0.726436	0.063852	0.150545	0.248501	0.366067
36	0.065408	0.078660	0.287238	0.223568	0.527971	0.626304	0.345760	0.193720	0.066755	0.113801	0.287625	0.559328	0.504452	0.469964	0.534762	0.725528	0.074918	0.137181	0.108705	0.745492	0.109741	0.148407	0.290947	1.248298	0.183422	0.180389	0.219552	0.206704	0.077008	0.198470	0.326144	0.352116	0.097903	0.075686	0.498315	1.003655	0.091948	0.166896	0.537430	0.258587	0.205694	0.269096	0.458734	1.001912	0.089565	0.115437	0.564607	0.705158	0.148314	0.238029	0.466848	0.745734	0.063864	0.147397	0.241896	0.359183
