	114_F_P_sh_L_D_A_01.c3d	114_F_P_sh_L_D_A_01.c3d	114_F_P_sh_L_D_A_01.c3d	114_F_P_sh_L_D_A_01.c3d	114_F_P_sh_L_D_A_01.c3d	114_F_P_sh_L_D_A_01.c3d	114_F_P_sh_L_D_A_01.c3d	114_F_P_sh_L_D_A_01.c3d	114_F_P_sh_L_D_A_03.c3d	114_F_P_sh_L_D_A_03.c3d	114_F_P_sh_L_D_A_03.c3d	114_F_P_sh_L_D_A_03.c3d	114_F_P_sh_L_D_A_03.c3d	114_F_P_sh_L_D_A_03.c3d	114_F_P_sh_L_D_A_03.c3d	114_F_P_sh_L_D_A_03.c3d	114_F_P_sh_L_D_A_05.c3d	114_F_P_sh_L_D_A_05.c3d	114_F_P_sh_L_D_A_05.c3d	114_F_P_sh_L_D_A_05.c3d	114_F_P_sh_L_D_A_05.c3d	114_F_P_sh_L_D_A_05.c3d	114_F_P_sh_L_D_A_05.c3d	114_F_P_sh_L_D_A_05.c3d	114_F_P_sh_L_D_A_06.c3d	114_F_P_sh_L_D_A_06.c3d	114_F_P_sh_L_D_A_06.c3d	114_F_P_sh_L_D_A_06.c3d	114_F_P_sh_L_D_A_06.c3d	114_F_P_sh_L_D_A_06.c3d	114_F_P_sh_L_D_A_06.c3d	114_F_P_sh_L_D_A_06.c3d	114_F_P_sh_L_D_A_07.c3d	114_F_P_sh_L_D_A_07.c3d	114_F_P_sh_L_D_A_07.c3d	114_F_P_sh_L_D_A_07.c3d	114_F_P_sh_L_D_A_07.c3d	114_F_P_sh_L_D_A_07.c3d	114_F_P_sh_L_D_A_07.c3d	114_F_P_sh_L_D_A_07.c3d	114_F_P_sh_L_D_A_10.c3d	114_F_P_sh_L_D_A_10.c3d	114_F_P_sh_L_D_A_10.c3d	114_F_P_sh_L_D_A_10.c3d	114_F_P_sh_L_D_A_10.c3d	114_F_P_sh_L_D_A_10.c3d	114_F_P_sh_L_D_A_10.c3d	114_F_P_sh_L_D_A_10.c3d
8	0.367490	0.476477	0.398213	0.264171	0.615090	0.646349	0.203916	0.134533	0.165107	0.120401	0.327222	0.354600	0.305151	0.393071	0.259223	0.278646	0.212876	0.131954	0.457301	0.629005	0.374674	0.299967	0.297295	0.226334	0.147441	0.129125	0.306912	0.454948	0.566808	0.294336	0.186066	0.087235	0.063146	0.145545	0.337616	0.289234	0.355568	0.189150	0.238588	0.123802	0.135264	0.196250	0.254192	0.177891	0.457626	0.629631	0.223355	0.046152
9	0.373934	0.474684	0.455208	0.275055	0.628692	0.633403	0.203744	0.133808	0.164979	0.119496	0.329682	0.374277	0.267896	0.393160	0.277869	0.288287	0.214925	0.130743	0.496848	0.686864	0.353498	0.283556	0.274792	0.218204	0.149857	0.129209	0.311073	0.460811	0.576375	0.295400	0.241852	0.090717	0.058833	0.146552	0.343769	0.321972	0.355455	0.188506	0.257969	0.152522	0.132089	0.182772	0.253649	0.191548	0.457241	0.658091	0.223720	0.045238
10	0.375565	0.480780	0.520016	0.280436	0.546727	0.606541	0.198621	0.126017	0.164412	0.120175	0.332150	0.381899	0.249522	0.394020	0.282959	0.294803	0.215098	0.135399	0.563298	0.756871	0.352930	0.273843	0.266062	0.205170	0.153441	0.135485	0.335624	0.489699	0.582530	0.292055	0.272633	0.093172	0.057936	0.133326	0.345982	0.334563	0.329975	0.187829	0.257720	0.156910	0.105468	0.138726	0.257220	0.197813	0.454015	0.702417	0.221695	0.045696
11	0.373956	0.466076	0.555491	0.287374	0.520239	0.621853	0.194277	0.111219	0.163527	0.121941	0.333064	0.381520	0.254187	0.352852	0.284853	0.295758	0.209400	0.130168	0.634926	0.784646	0.367446	0.267486	0.269821	0.216766	0.164811	0.145680	0.382310	0.537405	0.582331	0.288722	0.283258	0.090789	0.063412	0.112358	0.377190	0.340277	0.325699	0.182732	0.245119	0.156953	0.099969	0.100799	0.240910	0.204547	0.424470	0.701318	0.209054	0.046079
12	0.361541	0.468460	0.582327	0.296880	0.519319	0.607805	0.187894	0.093565	0.162317	0.123802	0.336252	0.381405	0.258596	0.329247	0.292387	0.294740	0.179331	0.123504	0.644639	0.792084	0.346384	0.261427	0.271398	0.227517	0.178190	0.150712	0.432221	0.566231	0.585404	0.288539	0.286793	0.086371	0.063426	0.084529	0.505593	0.397727	0.344891	0.151187	0.241064	0.157166	0.136114	0.102924	0.236734	0.206063	0.405363	0.700534	0.192876	0.044347
13	0.373536	0.461236	0.601922	0.308432	0.471855	0.597895	0.175988	0.075389	0.157539	0.121298	0.343451	0.381711	0.321999	0.357767	0.279962	0.283985	0.167745	0.123081	0.629361	0.793980	0.338256	0.248561	0.271670	0.244639	0.186599	0.151279	0.450943	0.572119	0.707058	0.286190	0.286504	0.084117	0.063542	0.066008	0.557987	0.469771	0.344852	0.150718	0.248050	0.159479	0.145389	0.103250	0.232923	0.197172	0.421803	0.647442	0.195677	0.042451
14	0.405423	0.409792	0.608879	0.316965	0.456447	0.587533	0.151563	0.064867	0.168354	0.123761	0.378588	0.382387	0.355225	0.345668	0.246798	0.258584	0.159123	0.107896	0.675198	0.793177	0.321239	0.247750	0.238753	0.269194	0.197119	0.152992	0.473545	0.544975	0.776235	0.287117	0.286638	0.082954	0.064583	0.059768	0.585054	0.501016	0.323510	0.154541	0.255881	0.172933	0.145612	0.102875	0.230856	0.183045	0.337546	0.615266	0.203496	0.044073
15	0.439945	0.324750	0.604822	0.313570	0.474189	0.587260	0.139967	0.063760	0.170142	0.122641	0.432477	0.377816	0.368009	0.317323	0.209873	0.226077	0.138071	0.089194	0.834420	0.838656	0.327622	0.246076	0.199903	0.276425	0.221913	0.160101	0.469825	0.522062	0.775507	0.281771	0.285407	0.083616	0.068547	0.059118	0.595983	0.509372	0.308382	0.159286	0.265150	0.185349	0.150366	0.104917	0.244754	0.176455	0.324884	0.591573	0.226543	0.040561
16	0.459181	0.302530	0.597789	0.302225	0.470532	0.559747	0.137729	0.064124	0.162340	0.099504	0.440604	0.377336	0.444626	0.342629	0.209231	0.202581	0.133864	0.084453	1.031723	0.968917	0.339388	0.241737	0.170044	0.271881	0.246006	0.164916	0.525357	0.539161	0.768287	0.282963	0.285074	0.087506	0.073576	0.057398	0.596998	0.510329	0.308947	0.165256	0.284166	0.197993	0.165906	0.100933	0.278592	0.182395	0.370908	0.572696	0.211459	0.035879
17	0.439153	0.279068	0.583849	0.292656	0.467825	0.540819	0.163322	0.063240	0.137203	0.103868	0.415550	0.356544	0.519563	0.368714	0.207424	0.200386	0.136362	0.089712	1.081420	1.083456	0.335424	0.216280	0.164388	0.265516	0.260735	0.167697	0.592742	0.586349	0.745853	0.286730	0.288938	0.094491	0.081289	0.055346	0.596439	0.509726	0.274127	0.148479	0.293348	0.213748	0.170442	0.107499	0.284798	0.188840	0.371523	0.566804	0.202471	0.039852
18	0.425769	0.280233	0.599333	0.286372	0.492510	0.555568	0.181630	0.064207	0.113961	0.104839	0.397825	0.332908	0.525827	0.376520	0.200698	0.175732	0.144853	0.100241	1.077476	1.079159	0.326706	0.226595	0.168052	0.248808	0.267685	0.169635	0.636022	0.622775	0.701267	0.296000	0.296024	0.103759	0.084443	0.055232	0.603701	0.504147	0.254713	0.162902	0.292959	0.221916	0.172068	0.117492	0.284830	0.189035	0.427885	0.567633	0.257110	0.061998
19	0.421931	0.287532	0.602491	0.288142	0.506638	0.528064	0.186139	0.065037	0.107032	0.106890	0.401205	0.329289	0.526298	0.376584	0.223677	0.151734	0.144372	0.098911	1.145154	1.056420	0.337140	0.223314	0.173302	0.219963	0.266911	0.171067	0.678794	0.649728	0.666201	0.364176	0.291244	0.106086	0.085668	0.055185	0.606547	0.503310	0.252872	0.157039	0.295007	0.227353	0.194333	0.148739	0.273246	0.179905	0.453808	0.489317	0.274983	0.079479
20	0.414503	0.285997	0.588325	0.289355	0.512597	0.465450	0.185766	0.065909	0.104366	0.106881	0.416629	0.328351	0.524065	0.377021	0.256639	0.142804	0.132342	0.094175	1.225107	1.138352	0.345568	0.230072	0.159398	0.213093	0.262697	0.168163	0.702746	0.662362	0.643305	0.364566	0.287309	0.105902	0.085766	0.057933	0.646506	0.519401	0.249991	0.147608	0.278904	0.221561	0.188909	0.146749	0.265265	0.158900	0.458645	0.441908	0.288818	0.080459
21	0.450290	0.286805	0.577159	0.290757	0.503467	0.460516	0.161564	0.065054	0.101212	0.106762	0.423226	0.334687	0.520557	0.367037	0.312017	0.133619	0.118378	0.097099	1.281592	1.244186	0.356193	0.220715	0.151908	0.213906	0.266448	0.164331	0.700467	0.651603	0.638505	0.364275	0.279056	0.106130	0.090579	0.057744	0.704603	0.553987	0.250717	0.135587	0.256764	0.204421	0.195669	0.147362	0.259051	0.148631	0.460581	0.367480	0.314700	0.083417
22	0.477495	0.292741	0.581646	0.294259	0.506015	0.462157	0.153055	0.064201	0.101218	0.107107	0.468550	0.368268	0.532563	0.374599	0.325414	0.115301	0.120290	0.105530	1.273207	1.234851	0.338839	0.219421	0.149618	0.202425	0.274329	0.173118	0.694262	0.637909	0.643829	0.345692	0.271967	0.105849	0.100561	0.055950	0.775086	0.565672	0.253468	0.138788	0.273987	0.193080	0.207237	0.152811	0.248257	0.133225	0.457545	0.438797	0.318653	0.085813
23	0.520290	0.311213	0.580543	0.296880	0.505990	0.462667	0.160846	0.066433	0.113367	0.111856	0.581931	0.420661	0.538660	0.379558	0.325435	0.100436	0.129065	0.105898	1.244004	1.200475	0.310048	0.213803	0.151756	0.180909	0.278560	0.201571	0.698896	0.638402	0.616935	0.331261	0.269283	0.104174	0.105219	0.050001	0.832105	0.567282	0.247026	0.138187	0.285146	0.194168	0.204031	0.179795	0.232250	0.112575	0.462069	0.439843	0.315510	0.086540
24	0.593805	0.311110	0.573651	0.291563	0.417552	0.456935	0.163881	0.066452	0.123751	0.116756	0.700572	0.491310	0.536308	0.383269	0.322914	0.096961	0.123126	0.101416	1.243898	1.226639	0.301509	0.184026	0.155348	0.163902	0.277758	0.211669	0.718345	0.666016	0.606082	0.331270	0.258766	0.103565	0.108086	0.047127	0.841652	0.577302	0.224897	0.138099	0.289308	0.195525	0.195045	0.180158	0.228761	0.108015	0.430373	0.430895	0.308560	0.086652
25	0.619169	0.288771	0.563610	0.281408	0.351117	0.459271	0.163460	0.063506	0.124730	0.126998	0.721555	0.579914	0.514917	0.307427	0.314631	0.104916	0.106854	0.097997	1.257540	1.298656	0.300445	0.188885	0.152228	0.123733	0.274143	0.211168	0.736945	0.717015	0.592424	0.328852	0.196250	0.099063	0.108360	0.058007	0.757613	0.545765	0.198315	0.135723	0.288391	0.195394	0.199918	0.189286	0.236399	0.110842	0.428186	0.428217	0.303019	0.085268
26	0.622286	0.283002	0.530933	0.272097	0.343262	0.432708	0.163469	0.060114	0.130092	0.134751	0.721543	0.625023	0.474725	0.295991	0.316239	0.143095	0.110171	0.109472	1.253436	1.324897	0.298015	0.196513	0.150229	0.073748	0.268518	0.209526	0.751203	0.752095	0.591951	0.329141	0.154609	0.095882	0.112034	0.068158	0.692956	0.471272	0.193760	0.144841	0.276620	0.192882	0.203162	0.194721	0.233222	0.107180	0.373224	0.407810	0.283054	0.082297
27	0.655062	0.281997	0.463089	0.267872	0.342057	0.372643	0.161323	0.057890	0.134775	0.139999	0.725659	0.630900	0.456051	0.298532	0.322553	0.190071	0.138123	0.123322	1.209482	1.321076	0.263075	0.189516	0.144799	0.056774	0.267984	0.208627	0.760987	0.751221	0.589988	0.328161	0.127103	0.094547	0.124760	0.080371	0.666670	0.413599	0.205182	0.143810	0.267565	0.184730	0.203125	0.195777	0.201007	0.093035	0.322434	0.381721	0.287483	0.085402
28	0.650008	0.420799	0.419918	0.263736	0.334953	0.359113	0.159559	0.057069	0.121418	0.136513	0.710854	0.643855	0.439266	0.300160	0.322528	0.233852	0.164456	0.130113	1.078206	1.303191	0.219570	0.169002	0.140633	0.059460	0.265444	0.208097	0.754767	0.727883	0.569972	0.326968	0.115598	0.092073	0.132023	0.082790	0.688366	0.409017	0.203916	0.139159	0.249885	0.175482	0.196259	0.202721	0.163627	0.074598	0.318099	0.384698	0.279075	0.087087
29	0.648358	0.455241	0.390392	0.253327	0.333693	0.352050	0.160465	0.058390	0.118993	0.138387	0.674614	0.674269	0.346806	0.295497	0.319409	0.250808	0.164463	0.129714	0.925211	1.217223	0.218781	0.162240	0.135561	0.055438	0.261283	0.221113	0.759944	0.724218	0.343514	0.326993	0.113707	0.090299	0.128516	0.083711	0.721411	0.434650	0.206166	0.268071	0.228300	0.167980	0.205100	0.249414	0.164248	0.080284	0.230259	0.371819	0.222730	0.075046
30	0.666905	0.450819	0.387011	0.237389	0.333179	0.348895	0.160311	0.062474	0.114563	0.132913	0.686683	0.712417	0.241301	0.231458	0.318622	0.250375	0.176264	0.128052	0.899121	1.153238	0.242311	0.150163	0.125988	0.055665	0.256295	0.237392	0.775714	0.756525	0.283362	0.327906	0.118785	0.089952	0.124860	0.088154	0.739816	0.459337	0.213083	0.286017	0.217611	0.161976	0.196589	0.249365	0.165655	0.093432	0.172186	0.359206	0.203117	0.066810
31	0.764735	0.520335	0.401148	0.220558	0.312093	0.356427	0.159060	0.065843	0.110404	0.123051	0.731209	0.778578	0.222885	0.223184	0.315567	0.258545	0.183216	0.122121	0.890142	1.153780	0.272726	0.125828	0.128088	0.052837	0.252538	0.257299	0.806836	0.803704	0.281586	0.327376	0.130628	0.091865	0.136090	0.095419	0.741526	0.470880	0.255943	0.302136	0.214977	0.162496	0.186898	0.233866	0.195277	0.121683	0.165449	0.374727	0.210782	0.102642
32	0.801915	0.571700	0.406952	0.215419	0.288237	0.413739	0.162796	0.066201	0.111223	0.120462	0.764755	0.830180	0.222499	0.222953	0.309332	0.273451	0.184380	0.122663	0.841443	1.154099	0.278742	0.124950	0.142089	0.046661	0.253439	0.269653	0.799778	0.838275	0.265947	0.333460	0.128198	0.090526	0.155821	0.106185	0.737092	0.464626	0.298050	0.308263	0.206782	0.153649	0.180989	0.254239	0.240475	0.175809	0.143515	0.396927	0.189231	0.154293
33	0.787820	0.571732	0.400692	0.220824	0.281721	0.422695	0.155025	0.065883	0.112049	0.121540	0.776833	0.842858	0.219804	0.224297	0.323481	0.318330	0.206979	0.127243	0.754964	1.113601	0.292159	0.127832	0.199001	0.043041	0.231922	0.269318	0.796165	0.837227	0.221465	0.347710	0.120471	0.080585	0.168347	0.111321	0.706595	0.447412	0.293350	0.307823	0.205583	0.151964	0.229242	0.278596	0.272090	0.232822	0.115696	0.302976	0.181610	0.196615
34	0.801593	0.567924	0.379597	0.227343	0.241232	0.383867	0.152721	0.063696	0.113550	0.174662	0.767654	0.841352	0.200545	0.237577	0.293909	0.371212	0.232933	0.125963	0.659424	1.013774	0.386907	0.136582	0.231890	0.044264	0.208331	0.266041	0.782897	0.822132	0.219676	0.364771	0.109280	0.070559	0.166976	0.111440	0.643531	0.399560	0.300139	0.306934	0.162725	0.147404	0.254451	0.272706	0.306140	0.284340	0.081669	0.292130	0.181997	0.205892
35	0.848707	0.571429	0.360662	0.234676	0.201453	0.402817	0.151023	0.064520	0.120889	0.203658	0.757563	0.831918	0.172480	0.243104	0.290700	0.394372	0.237670	0.119640	0.716738	0.993789	0.404302	0.136723	0.257259	0.077643	0.193228	0.264132	0.830810	0.837047	0.217719	0.374456	0.107584	0.070001	0.177110	0.119857	0.561677	0.351526	0.309733	0.308120	0.147595	0.174781	0.254611	0.265441	0.334931	0.319414	0.084842	0.292404	0.189104	0.220895
36	0.848319	0.570332	0.409286	0.249073	0.172218	0.396380	0.150131	0.067952	0.121932	0.216469	0.731649	0.810654	0.161042	0.235522	0.293404	0.400714	0.270840	0.162651	0.868690	1.075485	0.407607	0.125188	0.380425	0.139405	0.187090	0.262424	0.923784	0.907869	0.208892	0.407542	0.102959	0.070011	0.222572	0.169097	0.486896	0.336514	0.313868	0.308507	0.150211	0.207428	0.260256	0.271942	0.324029	0.322166	0.082645	0.298566	0.214552	0.259997
37	0.845281	0.619525	0.475761	0.265848	0.180430	0.397829	0.154280	0.077373	0.135715	0.237511	0.661816	0.776876	0.144334	0.244304	0.296235	0.401211	0.380035	0.197688	0.907816	1.086565	0.405491	0.121429	0.433246	0.179047	0.186746	0.261799	0.975742	0.996128	0.168903	0.425414	0.105196	0.069522	0.245538	0.191591	0.473297	0.325672	0.313018	0.308491	0.158246	0.228216	0.265194	0.264732	0.328030	0.344925	0.128087	0.312601	0.264071	0.287711
38	0.836678	0.623102	0.522429	0.272973	0.217748	0.397195	0.159548	0.090307	0.170325	0.281194	0.535869	0.734187	0.131625	0.254907	0.296201	0.397320	0.399923	0.199549	0.902794	1.019766	0.394339	0.108180	0.435197	0.191046	0.174815	0.259678	1.001397	1.077759	0.161035	0.417560	0.105793	0.069054	0.247149	0.189689	0.504612	0.334608	0.312826	0.308106	0.163125	0.238156	0.261428	0.264670	0.366086	0.392705	0.162504	0.427057	0.292182	0.298590
39	0.832065	0.628134	0.522957	0.271635	0.227432	0.398372	0.155101	0.096319	0.170795	0.290656	0.500293	0.679653	0.131572	0.235306	0.298616	0.384417	0.395649	0.194463	0.939036	1.012874	0.396867	0.109223	0.436424	0.190998	0.155732	0.261018	1.022672	1.118578	0.166886	0.418355	0.106381	0.068743	0.262499	0.197989	0.504455	0.355420	0.307549	0.301112	0.164964	0.237431	0.258493	0.264796	0.432057	0.441246	0.164051	0.417222	0.300254	0.300523
40	0.811840	0.636871	0.521074	0.265929	0.211214	0.391652	0.150420	0.098383	0.166816	0.290373	0.500815	0.649784	0.130528	0.241083	0.306656	0.364107	0.391489	0.197026	1.056660	1.106739	0.396004	0.108220	0.438073	0.194724	0.137912	0.244864	1.024250	1.124880	0.167310	0.424439	0.106927	0.068770	0.278276	0.203440	0.493283	0.359075	0.301003	0.301178	0.164624	0.233385	0.253194	0.240664	0.499436	0.473264	0.196442	0.428887	0.304420	0.302469
41	0.764585	0.661177	0.528660	0.256128	0.216411	0.386025	0.153697	0.099260	0.161461	0.288190	0.495730	0.643661	0.118687	0.267059	0.314496	0.342312	0.405054	0.212284	1.169073	1.235790	0.383741	0.106694	0.454067	0.212697	0.132400	0.214111	1.026373	1.119726	0.176580	0.426618	0.115620	0.070713	0.289344	0.207061	0.502202	0.349075	0.300504	0.295771	0.164929	0.228676	0.248185	0.204844	0.534914	0.497218	0.233484	0.445654	0.297103	0.302029
42	0.742374	0.680130	0.540900	0.249000	0.219072	0.384262	0.155478	0.099461	0.167182	0.288022	0.494274	0.630658	0.111914	0.258519	0.324167	0.335520	0.413096	0.216564	1.178145	1.298209	0.353493	0.125740	0.464754	0.248805	0.125513	0.204779	1.027996	1.116825	0.203065	0.437031	0.116869	0.065158	0.293747	0.208774	0.555184	0.432106	0.299147	0.203778	0.166834	0.220829	0.253710	0.203418	0.539406	0.507202	0.265242	0.524498	0.283148	0.291506
43	0.740735	0.687590	0.549812	0.247343	0.219529	0.384966	0.157549	0.099284	0.188846	0.288089	0.508453	0.598483	0.112053	0.257969	0.329925	0.338329	0.407618	0.214569	1.189973	1.290356	0.326614	0.144090	0.467992	0.267714	0.124466	0.203159	1.033592	1.119065	0.219485	0.436813	0.115934	0.059334	0.294075	0.208363	0.642894	0.602524	0.287136	0.182052	0.164608	0.209594	0.267356	0.213584	0.530213	0.501866	0.266913	0.503453	0.289149	0.267323
44	0.713021	0.754051	0.554901	0.247332	0.222452	0.385726	0.155925	0.098942	0.202762	0.284757	0.526926	0.574400	0.112407	0.269621	0.326574	0.332405	0.404914	0.214399	1.202300	1.329301	0.326032	0.153579	0.454447	0.273957	0.132087	0.203063	1.064760	1.140856	0.219974	0.436230	0.116845	0.055316	0.290766	0.205528	0.703001	0.724245	0.237781	0.150315	0.163434	0.200038	0.255723	0.187633	0.509793	0.480330	0.267584	0.504819	0.299998	0.237676
