	332_At_T1_sh_L_ND_02.c3d	332_At_T1_sh_L_ND_02.c3d	332_At_T1_sh_L_ND_02.c3d	332_At_T1_sh_L_ND_02.c3d	332_At_T1_sh_L_ND_02.c3d	332_At_T1_sh_L_ND_02.c3d	332_At_T1_sh_L_ND_02.c3d	332_At_T1_sh_L_ND_02.c3d	332_At_T1_sh_L_ND_03.c3d	332_At_T1_sh_L_ND_03.c3d	332_At_T1_sh_L_ND_03.c3d	332_At_T1_sh_L_ND_03.c3d	332_At_T1_sh_L_ND_03.c3d	332_At_T1_sh_L_ND_03.c3d	332_At_T1_sh_L_ND_03.c3d	332_At_T1_sh_L_ND_03.c3d	332_At_T1_sh_L_ND_06.c3d	332_At_T1_sh_L_ND_06.c3d	332_At_T1_sh_L_ND_06.c3d	332_At_T1_sh_L_ND_06.c3d	332_At_T1_sh_L_ND_06.c3d	332_At_T1_sh_L_ND_06.c3d	332_At_T1_sh_L_ND_06.c3d	332_At_T1_sh_L_ND_06.c3d	332_At_T1_sh_L_ND_07.c3d	332_At_T1_sh_L_ND_07.c3d	332_At_T1_sh_L_ND_07.c3d	332_At_T1_sh_L_ND_07.c3d	332_At_T1_sh_L_ND_07.c3d	332_At_T1_sh_L_ND_07.c3d	332_At_T1_sh_L_ND_07.c3d	332_At_T1_sh_L_ND_07.c3d	332_At_T1_sh_L_ND_08.c3d	332_At_T1_sh_L_ND_08.c3d	332_At_T1_sh_L_ND_08.c3d	332_At_T1_sh_L_ND_08.c3d	332_At_T1_sh_L_ND_08.c3d	332_At_T1_sh_L_ND_08.c3d	332_At_T1_sh_L_ND_08.c3d	332_At_T1_sh_L_ND_08.c3d	332_At_T1_sh_L_ND_09.c3d	332_At_T1_sh_L_ND_09.c3d	332_At_T1_sh_L_ND_09.c3d	332_At_T1_sh_L_ND_09.c3d	332_At_T1_sh_L_ND_09.c3d	332_At_T1_sh_L_ND_09.c3d	332_At_T1_sh_L_ND_09.c3d	332_At_T1_sh_L_ND_09.c3d
8	0.181027	0.307166	0.290678	0.374153	0.116744	0.202689	0.298590	0.334012	0.154196	0.209936	0.183205	0.192361	0.240254	0.564499	0.513137	0.496310	0.151368	0.369057	0.197808	0.192939	0.217948	0.660143	0.338202	0.203697	0.179554	0.357453	0.206735	0.249312	0.092313	0.183377	0.363086	0.365335	0.216955	0.255947	0.197981	0.142048	0.214062	0.558466	0.429545	0.581643	0.123794	0.208235	0.412028	0.489263	0.316478	0.425080	0.592740	0.403361
9	0.211050	0.370235	0.298966	0.439430	0.116451	0.168147	0.318127	0.383898	0.165415	0.237049	0.211492	0.216367	0.262181	0.530533	0.596302	0.522696	0.162287	0.397120	0.220249	0.187634	0.232070	0.725474	0.399763	0.252950	0.183837	0.370980	0.188664	0.314889	0.093544	0.185627	0.366941	0.352144	0.215160	0.242391	0.216715	0.203430	0.215963	0.545742	0.472885	0.815773	0.125085	0.193023	0.436045	0.513480	0.310899	0.426967	0.593209	0.494228
10	0.209287	0.371397	0.299095	0.425630	0.142762	0.172579	0.344021	0.428202	0.170451	0.246918	0.236962	0.210015	0.246389	0.435718	0.614591	0.495765	0.161946	0.400573	0.230766	0.197823	0.214771	0.691138	0.509874	0.409221	0.191978	0.377470	0.188554	0.318219	0.089484	0.193925	0.381056	0.361137	0.211477	0.232061	0.314648	0.252544	0.216565	0.547567	0.500958	0.975114	0.126239	0.164209	0.463692	0.570562	0.323091	0.425685	0.728242	0.600172
11	0.209647	0.371562	0.267403	0.453454	0.146883	0.164753	0.396208	0.445475	0.169477	0.248206	0.240843	0.212322	0.211977	0.356004	0.630016	0.469787	0.159674	0.396061	0.301447	0.216870	0.209457	0.683659	0.559101	0.418843	0.188186	0.378287	0.221195	0.331317	0.099969	0.183356	0.390991	0.395860	0.215185	0.233643	0.406103	0.335610	0.210344	0.537949	0.523030	1.039105	0.113543	0.152785	0.463847	0.577730	0.338268	0.424319	0.774723	0.610676
12	0.198473	0.362588	0.288712	0.441225	0.152501	0.173403	0.407208	0.432963	0.168116	0.248421	0.245981	0.211049	0.210167	0.349919	0.534445	0.399179	0.139392	0.356048	0.368649	0.230696	0.208007	0.680814	0.560755	0.421668	0.172298	0.359165	0.319091	0.328730	0.105645	0.156426	0.397263	0.407589	0.211403	0.213879	0.446268	0.363616	0.210186	0.537769	0.661725	1.069168	0.113513	0.152717	0.472694	0.573199	0.353091	0.425989	0.777129	0.595258
13	0.173314	0.282556	0.288935	0.431087	0.149951	0.200358	0.416035	0.441345	0.153965	0.235097	0.278345	0.221337	0.199195	0.239728	0.512789	0.393478	0.118529	0.270448	0.368728	0.227159	0.215101	0.694900	0.542885	0.422183	0.150344	0.294596	0.345826	0.403555	0.108469	0.146968	0.419063	0.412004	0.173446	0.132639	0.522592	0.479705	0.204166	0.535273	0.690226	1.073533	0.115198	0.169003	0.502216	0.576027	0.300505	0.379592	0.757096	0.568726
14	0.165553	0.254289	0.273965	0.432826	0.152549	0.220504	0.557289	0.454713	0.130859	0.179191	0.284207	0.186636	0.186682	0.217747	0.467257	0.323914	0.113158	0.260482	0.359167	0.231747	0.233873	0.623236	0.496580	0.421591	0.156521	0.242074	0.393374	0.558464	0.109751	0.143025	0.409560	0.407445	0.155833	0.107729	0.536113	0.570272	0.168853	0.443328	0.690001	1.059066	0.119310	0.167843	0.450997	0.400411	0.230128	0.279695	0.601986	0.559199
15	0.151608	0.235335	0.280970	0.414726	0.156536	0.220613	0.584055	0.466606	0.131033	0.147014	0.320046	0.188750	0.180608	0.315162	0.433845	0.294654	0.108457	0.234322	0.356941	0.227930	0.236119	0.616485	0.477300	0.425841	0.161588	0.229207	0.423917	0.595661	0.085626	0.116995	0.394497	0.378078	0.130130	0.137323	0.548788	0.608424	0.139057	0.333236	0.648908	1.024255	0.097475	0.131299	0.342387	0.398129	0.211476	0.293028	0.543662	0.552624
16	0.123999	0.214268	0.328694	0.383319	0.154690	0.221326	0.566773	0.418151	0.125332	0.142289	0.319033	0.214508	0.137554	0.324785	0.296213	0.194691	0.081331	0.186925	0.328345	0.201080	0.220030	0.452389	0.430126	0.399126	0.153075	0.205028	0.444214	0.600870	0.084982	0.114253	0.385519	0.301094	0.140759	0.185400	0.545421	0.611028	0.127203	0.266723	0.631092	0.999820	0.084998	0.117087	0.304839	0.355311	0.209923	0.279286	0.530488	0.494511
17	0.106394	0.105746	0.288007	0.310159	0.153829	0.221455	0.526265	0.392761	0.096473	0.099286	0.312848	0.197620	0.120661	0.320620	0.278392	0.195648	0.096267	0.198171	0.312353	0.206951	0.207598	0.455288	0.350804	0.230276	0.137821	0.189653	0.450606	0.577697	0.087821	0.115038	0.396099	0.264524	0.145676	0.215511	0.527418	0.585803	0.085631	0.182965	0.585030	0.983631	0.132456	0.153749	0.272516	0.289474	0.200164	0.276668	0.497202	0.368748
18	0.120829	0.148479	0.269456	0.297111	0.128606	0.196897	0.508014	0.318402	0.074714	0.061575	0.296183	0.197390	0.110936	0.311932	0.222592	0.162093	0.139714	0.371134	0.300788	0.210590	0.202482	0.453804	0.159425	0.159167	0.131594	0.157700	0.452013	0.551901	0.083743	0.148679	0.417459	0.243163	0.141496	0.210620	0.457811	0.574325	0.091816	0.187613	0.575332	0.942170	0.141276	0.183074	0.298963	0.292561	0.199931	0.315725	0.232960	0.274934
19	0.123139	0.174894	0.266240	0.282730	0.128102	0.227424	0.488759	0.292158	0.071940	0.052930	0.291748	0.198424	0.085697	0.294290	0.194085	0.113009	0.147066	0.378096	0.251776	0.189078	0.208719	0.449686	0.174022	0.157024	0.119467	0.124843	0.454831	0.559911	0.112138	0.192966	0.348606	0.201876	0.126484	0.212143	0.405709	0.524077	0.106017	0.230025	0.551415	0.712734	0.142391	0.182369	0.304583	0.283666	0.216609	0.362445	0.199010	0.277752
20	0.124586	0.211833	0.237355	0.283292	0.123041	0.236128	0.455413	0.253606	0.076336	0.061406	0.291768	0.219935	0.088676	0.297054	0.196486	0.110530	0.147682	0.381982	0.112751	0.172417	0.212309	0.429822	0.194840	0.152913	0.115916	0.114763	0.455055	0.568004	0.104879	0.194121	0.299134	0.151592	0.121649	0.213455	0.374322	0.533912	0.123079	0.286195	0.536593	0.560203	0.138422	0.166111	0.257497	0.264598	0.202291	0.333336	0.196871	0.278898
21	0.158777	0.242227	0.277603	0.293405	0.114407	0.208538	0.460994	0.238979	0.081267	0.180678	0.253990	0.200877	0.087281	0.297292	0.214316	0.144022	0.158153	0.391523	0.114936	0.196182	0.194507	0.363027	0.200218	0.155458	0.107825	0.105309	0.413015	0.564628	0.107817	0.196320	0.241456	0.142194	0.124746	0.218562	0.330151	0.475558	0.128876	0.302288	0.456320	0.480251	0.133260	0.160364	0.258076	0.260977	0.197124	0.318120	0.196540	0.284203
22	0.176672	0.244114	0.281715	0.298770	0.108080	0.207491	0.441834	0.228900	0.082470	0.272726	0.261644	0.248267	0.084405	0.173887	0.259296	0.193674	0.170560	0.419461	0.140076	0.195202	0.150129	0.306473	0.196904	0.141133	0.105715	0.103683	0.389259	0.518343	0.105260	0.199261	0.241271	0.167329	0.129665	0.216015	0.320324	0.391757	0.128283	0.310518	0.276730	0.433431	0.131562	0.153548	0.279176	0.205827	0.185119	0.318103	0.204032	0.341288
23	0.208240	0.303175	0.289982	0.267778	0.105736	0.183237	0.241324	0.194770	0.087459	0.289267	0.218894	0.284724	0.074618	0.134237	0.253702	0.183309	0.184034	0.522458	0.153039	0.179343	0.127044	0.256401	0.196681	0.146425	0.091474	0.090994	0.342833	0.339292	0.109631	0.213379	0.242974	0.191395	0.114825	0.219456	0.312830	0.381182	0.130107	0.310928	0.255186	0.478782	0.128295	0.152306	0.265329	0.250971	0.184808	0.306605	0.177516	0.388044
24	0.211199	0.304546	0.226935	0.283894	0.116788	0.195156	0.206500	0.181112	0.103297	0.328513	0.215946	0.274135	0.075653	0.143105	0.233683	0.249841	0.184239	0.527495	0.220944	0.176190	0.133163	0.251686	0.201216	0.151511	0.073767	0.077413	0.301230	0.278212	0.112214	0.213906	0.256256	0.191259	0.095756	0.176232	0.307376	0.380460	0.130646	0.315967	0.272757	0.474948	0.085761	0.196937	0.238697	0.258318	0.185069	0.303129	0.165749	0.476805
25	0.196592	0.288442	0.236540	0.325307	0.140739	0.220432	0.222960	0.221209	0.112538	0.347240	0.230309	0.305398	0.069234	0.142551	0.252670	0.372332	0.168420	0.513684	0.222811	0.188138	0.139969	0.243758	0.201796	0.178234	0.082384	0.082622	0.260213	0.281730	0.112051	0.213878	0.271954	0.203877	0.098984	0.157528	0.323130	0.385016	0.128960	0.319916	0.282577	0.463387	0.111944	0.259911	0.235469	0.259871	0.183637	0.283931	0.179606	0.483251
26	0.196652	0.273127	0.247010	0.302537	0.144303	0.224066	0.265862	0.236727	0.120004	0.384619	0.233309	0.318936	0.077091	0.180462	0.278401	0.444500	0.144030	0.394403	0.226167	0.169993	0.143484	0.284559	0.249336	0.265702	0.080478	0.091393	0.247279	0.285184	0.111394	0.188311	0.228795	0.203462	0.095894	0.154158	0.331291	0.392019	0.126530	0.332145	0.326014	0.448663	0.127532	0.297781	0.306389	0.288992	0.105904	0.201619	0.245590	0.704128
27	0.195416	0.253372	0.254676	0.293894	0.151818	0.279631	0.283961	0.232603	0.128646	0.384766	0.242382	0.323246	0.081706	0.183937	0.302819	0.587058	0.192278	0.493513	0.228114	0.169800	0.164600	0.307936	0.277964	0.279330	0.076194	0.108903	0.247087	0.272333	0.081842	0.147188	0.203394	0.206403	0.093383	0.147975	0.316207	0.358208	0.125388	0.318584	0.305958	0.417735	0.122321	0.301268	0.428513	0.297594	0.069052	0.167538	0.316418	0.766054
28	0.187731	0.226997	0.255215	0.305448	0.140185	0.254969	0.285065	0.228999	0.140976	0.385639	0.243136	0.347049	0.122526	0.222484	0.340539	0.593976	0.203574	0.525301	0.216151	0.165215	0.182480	0.329802	0.291393	0.281140	0.073415	0.111494	0.242049	0.238910	0.067542	0.114119	0.206068	0.234677	0.090891	0.147951	0.240213	0.298887	0.119855	0.318330	0.322813	0.497925	0.127970	0.312128	0.440793	0.295456	0.071467	0.171671	0.345942	0.887879
29	0.162556	0.191062	0.220112	0.290738	0.141451	0.252623	0.306183	0.228553	0.147839	0.406149	0.239158	0.353874	0.124957	0.218771	0.314764	0.666377	0.207943	0.586441	0.212400	0.145605	0.184302	0.345664	0.415890	0.301955	0.073116	0.110233	0.191412	0.210583	0.065702	0.110639	0.277946	0.258056	0.090120	0.174111	0.228971	0.209127	0.106674	0.265807	0.327478	0.676711	0.135176	0.312891	0.441730	0.295018	0.086853	0.185742	0.465615	0.922288
30	0.137362	0.182825	0.219766	0.285558	0.178420	0.296228	0.287433	0.245680	0.184342	0.392984	0.221055	0.324680	0.147435	0.236757	0.431163	0.869438	0.201460	0.579550	0.195725	0.174032	0.176200	0.346351	0.446125	0.309101	0.083469	0.112595	0.132587	0.209646	0.065953	0.104136	0.333723	0.282679	0.084800	0.197184	0.205671	0.164611	0.119397	0.258779	0.335052	0.712761	0.146909	0.336327	0.486945	0.259171	0.086412	0.198002	0.518991	0.895514
31	0.092775	0.062352	0.199159	0.291141	0.213784	0.351922	0.287058	0.239733	0.184354	0.386578	0.204336	0.291160	0.147350	0.292569	0.477265	0.942996	0.186847	0.480944	0.190687	0.182580	0.172859	0.351496	0.450376	0.296321	0.101381	0.131916	0.184884	0.216460	0.060676	0.080294	0.375055	0.395684	0.094679	0.212615	0.192538	0.144342	0.124165	0.257463	0.343441	0.815127	0.158148	0.324688	0.521592	0.240919	0.076339	0.183067	0.526823	0.861675
32	0.079112	0.059623	0.187880	0.224237	0.237884	0.365434	0.281099	0.250769	0.176701	0.361963	0.209814	0.368919	0.168026	0.311674	0.459960	0.913872	0.190770	0.477620	0.111387	0.182182	0.169222	0.355224	0.492266	0.277578	0.111870	0.136879	0.215704	0.235464	0.058397	0.085047	0.402562	0.424803	0.099185	0.242865	0.196259	0.210471	0.124944	0.259570	0.343899	0.802839	0.204463	0.533655	0.510723	0.225962	0.081506	0.164189	0.529695	0.856122
33	0.077419	0.070914	0.189448	0.200158	0.245435	0.399069	0.288579	0.230149	0.176792	0.344872	0.216909	0.497180	0.178219	0.330685	0.442284	0.869685	0.191218	0.472604	0.131677	0.166890	0.185726	0.410796	0.497955	0.229076	0.118485	0.155810	0.357705	0.221215	0.063566	0.096607	0.386280	0.419510	0.094926	0.257230	0.167256	0.244891	0.128652	0.253089	0.339583	0.783238	0.275097	0.603049	0.448096	0.178092	0.085740	0.169808	0.519920	0.784096
34	0.063080	0.082771	0.218471	0.210387	0.241424	0.422508	0.269414	0.205140	0.187824	0.303601	0.388830	0.559838	0.219957	0.464577	0.424585	0.791579	0.188533	0.473492	0.158673	0.212382	0.182990	0.415948	0.485718	0.197732	0.126007	0.160913	0.433514	0.289378	0.063416	0.097947	0.380032	0.428339	0.093873	0.267260	0.212387	0.248683	0.132736	0.254206	0.339400	0.780947	0.302867	0.742233	0.337922	0.166966	0.102291	0.226471	0.469771	0.610335
35	0.066186	0.158908	0.281620	0.214486	0.237403	0.433997	0.213407	0.221472	0.197035	0.332893	0.450663	0.579476	0.204232	0.445556	0.398032	0.773402	0.146441	0.382170	0.210472	0.219259	0.214865	0.510912	0.470770	0.196119	0.140463	0.160309	0.436423	0.405739	0.065245	0.096292	0.466510	0.469758	0.121289	0.291771	0.278093	0.293423	0.136034	0.266232	0.323114	0.762388	0.316655	0.742226	0.328393	0.197583	0.103972	0.238076	0.445202	0.492303
36	0.093344	0.214576	0.294501	0.221437	0.229898	0.403609	0.362151	0.219378	0.190605	0.338205	0.503520	0.601751	0.206178	0.445372	0.406400	0.716194	0.142185	0.325076	0.223499	0.266758	0.317754	0.680704	0.460932	0.171411	0.145104	0.165795	0.478331	0.445661	0.070758	0.099142	0.573240	0.466866	0.205572	0.382696	0.342923	0.349490	0.136635	0.263276	0.327231	0.774142	0.316901	0.749085	0.304056	0.203932	0.104288	0.252172	0.423158	0.290842
37	0.096724	0.253119	0.304455	0.267204	0.234023	0.407089	0.509502	0.257516	0.200722	0.302453	0.521829	0.641636	0.195032	0.443788	0.306741	0.482290	0.140721	0.174221	0.260364	0.340385	0.369172	0.732933	0.450419	0.158137	0.149265	0.174041	0.496282	0.451282	0.083591	0.102325	0.564467	0.500220	0.226645	0.376880	0.484765	0.378289	0.135899	0.261716	0.355141	0.775727	0.312081	0.739120	0.248657	0.184802	0.095386	0.268407	0.218814	0.274704
38	0.104086	0.274333	0.398076	0.282742	0.239073	0.408020	0.489866	0.264541	0.195565	0.264225	0.531882	0.647033	0.221802	0.476112	0.222015	0.197997	0.144042	0.164467	0.391638	0.381640	0.368863	0.807480	0.445230	0.170254	0.153363	0.178733	0.499866	0.455446	0.099480	0.104105	0.530980	0.526125	0.250902	0.387737	0.531158	0.392900	0.132273	0.260515	0.330525	0.640743	0.300484	0.718939	0.191884	0.167694	0.096065	0.269334	0.207472	0.232813
39	0.108404	0.277861	0.429857	0.294700	0.213819	0.398584	0.502516	0.262571	0.192275	0.295610	0.540203	0.653918	0.229180	0.527721	0.240141	0.203050	0.182637	0.364491	0.402781	0.402600	0.407874	0.849687	0.392965	0.173637	0.150365	0.178650	0.519228	0.466671	0.100758	0.096003	0.508996	0.458871	0.249328	0.377123	0.554617	0.394186	0.109818	0.219983	0.375486	0.559420	0.263685	0.569283	0.197879	0.235825	0.093872	0.270527	0.173964	0.117028
40	0.113589	0.282175	0.449206	0.298438	0.202312	0.405928	0.598859	0.273627	0.197601	0.319636	0.542462	0.640145	0.217048	0.559303	0.272928	0.240821	0.187493	0.452074	0.399883	0.429165	0.406790	0.870362	0.360946	0.180048	0.138177	0.164041	0.505744	0.476686	0.115614	0.089839	0.477885	0.407455	0.285838	0.380776	0.556392	0.365245	0.092487	0.202597	0.365103	0.356798	0.182470	0.493631	0.200154	0.667634	0.088944	0.266847	0.171562	0.123979
41	0.142237	0.325365	0.441183	0.285199	0.174705	0.391778	0.626227	0.263017	0.194869	0.330492	0.538468	0.531116	0.248874	0.626179	0.271626	0.254517	0.213167	0.484061	0.395629	0.434668	0.403681	0.867497	0.343891	0.184212	0.132490	0.185773	0.490213	0.467105	0.122710	0.070653	0.480610	0.410265	0.314940	0.412427	0.553720	0.346921	0.106550	0.205108	0.362777	0.272522	0.157136	0.325752	0.211882	0.794773	0.089523	0.224280	0.175978	0.183417
42	0.149361	0.349561	0.422798	0.277071	0.233551	0.592537	0.634333	0.263913	0.183972	0.334792	0.444173	0.441795	0.245653	0.629859	0.267198	0.251767	0.227432	0.483403	0.389276	0.486335	0.413805	0.841739	0.357807	0.250997	0.144976	0.276760	0.413012	0.462607	0.192111	0.088383	0.479954	0.414587	0.347670	0.459025	0.531308	0.347160	0.120682	0.240733	0.377886	0.276382	0.143703	0.341896	0.225444	0.814448	0.092366	0.269087	0.192698	0.215658
43	0.154883	0.379195	0.370964	0.247396	0.254878	0.577415	0.690547	0.249480	0.169548	0.342529	0.359014	0.416674	0.241954	0.635361	0.275088	0.256387	0.221911	0.493655	0.364822	0.486510	0.311322	0.703266	0.293857	0.276487	0.146629	0.301188	0.328286	0.416355	0.229424	0.098317	0.449171	0.392661	0.329428	0.449082	0.493471	0.356514	0.128323	0.266576	0.388936	0.282078	0.139628	0.327141	0.273304	0.919366	0.092080	0.253965	0.181838	0.248769
44	0.157588	0.394950	0.366122	0.238523	0.251596	0.565049	0.695409	0.233489	0.168232	0.348636	0.288419	0.374794	0.256770	0.659572	0.260484	0.245512	0.217622	0.508176	0.394131	0.473106	0.253119	0.644557	0.200268	0.285109	0.163500	0.409450	0.335267	0.308817	0.253074	0.112080	0.264749	0.378539	0.307712	0.399132	0.420623	0.335272	0.132421	0.289985	0.386839	0.315366	0.148858	0.328720	0.250324	0.998440	0.092410	0.263896	0.194039	0.284698
